"Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
3,"Female","University","No loan",10,34,NA,29,"France","0","1",82774.07,"0",104.423179462025,"Mass Market","Married",60,6222,832,"1",0,"2","0"
1,"Male","University","No loan",9,31,"Chiagoziem",41,"France","0","0",49405.93,"0",129.0893388602,"Mass Market","Married",44,3217,850,"1",0,"2","0"
8,"Male","University","No loan",8,26,NA,43,"Spain","0","1",135650.72,"0",228.837824334054,"Mass Market","Married",53,NA,577,"1",79757.21,"1","1"
6,"Female","High School","Active loan",0,32,"Mackay",48,"Germany","0","0",102640.52,"0",133.894064907503,"Affluent","Single",64,NA,482,"0",23503.31,"3","1"
3,"Male","High School","Active loan",6,41,NA,34,"France","0","1",83773.02,"1",91.5700291965424,"Affluent","Single",67,5511,635,"0",109003.26,"1","0"
8,"Male","University","No loan",9,33,"O'Loughlin",23,"Spain","0","1",116706,"0",87.9635956341026,"Mass Market","Married",43,3575,656,"1",0,"2","0"
1,"Male","High School","Active loan",4,22,NA,34,"Spain","0","1",50046.25,"0",89.3928227166261,"Affluent","Single",67,1601,745,"0",0,"2","0"
4,"Male","University","No loan",8,31,"Akobundu",26,"Germany","0","1",145900.89,"1",342.324377368573,"Mass Market","Married",54,4462,662,"1",101979.16,"1","0"
3,"Male","University","No loan",10,16,NA,29,"France","0","0",149991.32,"1",193.311875003855,"Mass Market","Married",69,5417,797,"1",0,"1","0"
5,"Female","High School","Active loan",5,29,"Siciliani",30,"Germany","0","1",141148.21,"1",55.17842745398,"Affluent","Single",45,NA,485,"1",156771.68,"1","0"
5,"Male","High School","Active loan",4,34,NA,46,"France","0","1",54394.28,"0",214.938857593412,"Affluent","Single",20,3958,610,"0",0,"1","0"
6,"Male","University","No loan",8,28,"Darwin",35,"France","0","0",28707.69,"0",120.926366759825,"Mass Market","Married",55,NA,835,"1",127120.07,"1","0"
8,"Male","High School","Active loan",5,21,"Glazkov",26,"Germany","0","1",79414,"0",111.751095400673,"Affluent","Single",63,178,454,"0",152400.51,"2","0"
4,"Female","High School","Active loan",4,37,NA,39,"Spain","0","1",120612.11,"1",49.7913339472809,"Affluent","Single",61,NA,684,"0",139723.9,"1","0"
6,"Female","University","No loan",8,28,"De Salis",35,"France","0","0",159508.52,"0",191.305469040082,"Mass Market","Married",57,304,605,"1",45144.43,"3","0"
10,"Male","High School","No loan",0,21,"Ingram",34,"Spain","0","1",140509.86,"0",49.3734828522953,"Mass Market","Single",73,NA,718,"1",135559.8,"1","0"
5,"Male","University","No loan",9,21,"Wood",20,"Germany","0","1",10078.02,"0",235.036744782925,"Mass Market","Married",66,NA,634,"1",108380.72,"1","0"
10,"Female","University","No loan",10,31,NA,33,"France","0","1",140759.03,"0",136.330910547844,"Mass Market","Married",78,5497,586,"1",0,"2","0"
8,"Male","University","No loan",10,22,NA,28,"Spain","0","1",13107.24,"1",97.3909756432833,"Mass Market","Married",46,3601,538,"1",116993.43,"1","0"
5,"Male","Other","Default risk",0,17,"Howell",28,"Germany","4","1",26578.69,"0",74.069030755369,"High Net Worth","Widowed",55,5378,678,"0",138668.18,"1","0"
